chromophore,solvent,absorption,emission,q_yield,mwt,s_shift,charge
N#Cc1cc2ccc(O)cc2oc1=O,O,355.0,410.0,,187.1537,55.0,0
N#Cc1cc2ccc([O-])cc2oc1=O,O,408.0,450.0,,186.14576,42.0,-1
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524.0,555.0,,350.42028,31.0,-1
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350.0,395.0,,231.29398,45.0,0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361.0,416.0,,231.29398,55.0,0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367.0,430.0,,231.29398,63.0,0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,373.0,451.0,,231.29398,78.0,0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384.0,463.0,,231.29398,79.0,0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,376.0,433.0,,285.26416,57.0,0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,392.0,479.0,,285.26416,87.0,0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,396.0,501.0,,285.26416,105.0,0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,400.0,509.0,,285.26416,109.0,0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,413.0,524.0,,285.26416,111.0,0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361.0,407.0,,255.31598,46.0,0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,387.0,473.0,,255.31598,86.0,0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,396.0,489.0,,255.31598,93.0,0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,393.0,455.0,,309.28616,62.0,0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418.0,521.0,,309.28616,103.0,0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421.0,531.0,,309.28616,110.0,0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434.0,546.0,,309.28616,112.0,0
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382.0,439.0,,283.24828,57.0,0
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405.0,510.0,,283.24828,105.0,0
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408.0,515.0,,283.24828,107.0,0
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,454.0,501.0,,350.44092,47.0,0
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403.0,480.0,,347.41674,77.0,0
CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354.0,420.0,,217.2671,66.0,0
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383.0,481.0,,271.23728,98.0,0
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530.0,555.0,,443.56514,25.0,1
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,,,0.95,330.2944,,-2
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CO,,,1.0,490.6012,,0
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,515.0,538.0,0.2,645.87864,23.0,-2
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,521.0,534.0,0.02,833.86264,13.0,-2
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,526.0,545.0,0.08,833.86264,19.0,-2
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,532.0,551.0,0.08,833.86264,19.0,-2
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,529.0,551.0,0.76,645.87864,22.0,-2
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,532.0,557.0,0.1,833.86264,25.0,-2
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1CCCCC1,342.0,401.0,,227.30598,59.0,0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,c1ccccc1,355.0,421.0,,227.30598,66.0,0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,343.0,406.0,,227.30598,63.0,0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,Clc1ccccc1,254.0,430.0,,227.30598,176.0,0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CC(C)=O,350.0,452.0,,227.30598,102.0,0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCCO,375.0,515.0,,227.30598,140.0,0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,370.0,510.0,,227.30598,140.0,0
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,O,364.0,531.0,,227.30598,167.0,0
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCCO,,477.0,,299.34922,,0
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCO,,485.0,,299.34922,,0
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CO,,490.0,,299.34922,,0
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCC(O)CO,,501.0,,299.34922,,0
C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,328.0,0.3,200.35604,34.0,0
C[SiH](C)c1cccc2ccccc12,C1CCCCC1,294.0,328.0,,186.32916,34.0,0
CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0,,242.43668,35.0,0
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295.0,329.0,,242.43668,34.0,0
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0,,298.5442,35.0,0
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300.0,333.0,0.33,272.53856,33.0,0
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,300.0,333.0,,244.4848,33.0,0
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302.0,335.0,,356.69984,33.0,0
COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312.0,327.0,0.65,230.38192,15.0,0
C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315.0,333.0,0.66,225.3661,18.0,0
C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316.0,336.0,,224.37804,20.0,0
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347.0,352.0,0.85,320.58256,5.0,0
CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,411.0,472.0,0.4,741.1972,61.0,0
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,375.0,490.0,0.35,791.25708,115.0,0
N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,350.0,496.0,0.55,658.8022,146.0,0
CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,350.0,491.0,0.12,911.28604,141.0,0
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489.0,560.0,0.72,752.83944,71.0,0
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClC(Cl)(Cl)Cl,497.3451327,571.8681319,,752.83944,74.52299919999996,0
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,591.0,0.78,752.83944,85.0,0
